# Метеостанция Сыктывкар / им. П. А. Истомина (аэропорт), Россия, WMO_ID=23804, выборка с 09.11.2020 по 15.02.2021, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=23804&lang=ru
#
"Местное время в Сыктывкаре / им. П. А. Истомина (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"14.02.2021 00:00";"-22.3";"753.1";"765.1";"-2.0";"83";"Ветер, дующий с северо-востока";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-24.4";"";"";"";"";"";"";
"13.02.2021 21:00";"-22.2";"755.1";"767.2";"-0.9";"85";"Ветер, дующий с северо-востока";"2";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-24.0";"";"";"";"";"";"";
"13.02.2021 18:00";"-21.1";"756.0";"768.0";"-0.8";"86";"Ветер, дующий с северо-востока";"3";"";"";"100%.";" ";"";"";"";"-20.9";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-22.8";"Осадков нет";"12";"";"";"";"";
"13.02.2021 15:00";"-21.4";"756.8";"768.8";"-0.2";"84";"Ветер, дующий с северо-северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-23.4";"";"";"";"";"";"";
"13.02.2021 12:00";"-24.0";"757.0";"769.0";"-0.2";"84";"Ветер, дующий с севера";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-26.0";"";"";"";"";"";"";
"13.02.2021 09:00";"-27.2";"757.2";"769.5";"0.5";"85";"Ветер, дующий с севера";"1";"";"";"90  или более, но не 100%";" ";"";"";"-28.9";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-29.0";"";"";"";"";"";"";
"13.02.2021 06:00";"-26.6";"756.7";"768.6";"0.3";"86";"Ветер, дующий с северо-северо-востока";"1";"";"";"20–30%.";" ";"";"";"-28.3";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-28.2";"Осадков нет";"12";"";"";"Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"60.0";
"13.02.2021 03:00";"-26.6";"756.4";"768.6";"0.2";"86";"Штиль, безветрие";"0";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-28.2";"";"";"";"";"";"";
"13.02.2021 00:00";"-24.9";"756.2";"768.4";"-0.2";"88";"Ветер, дующий с севера";"1";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-26.3";"";"";"";"";"";"";
"12.02.2021 21:00";"-21.8";"756.4";"768.4";"-0.3";"87";"Ветер, дующий с северо-северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-23.4";"";"";"";"";"";"";
"12.02.2021 18:00";"-21.2";"756.7";"768.7";"-0.4";"88";"Ветер, дующий с востоко-северо-востока";"2";"";"";"100%.";" ";"";"";"";"-19.6";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-22.7";"0.4";"12";"";"";"";"";
"12.02.2021 15:00";"-19.9";"757.1";"769.0";"-1.1";"85";"Ветер, дующий с северо-востока";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"-21.8";"";"";"";"";"";"";
"12.02.2021 12:00";"-20.9";"758.2";"770.2";"-0.8";"83";"Ветер, дующий с северо-востока";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"-23.0";"";"";"";"";"";"";
"12.02.2021 09:00";"-24.6";"759.0";"771.1";"-0.5";"86";"Ветер, дующий с северо-северо-востока";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"4.0";"-26.3";"";"";"";"";"";"";
"12.02.2021 06:00";"-25.5";"759.5";"771.7";"-0.8";"86";"Ветер, дующий с севера";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-28.0";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"50%.";"600-1000";"Высокослоистые просвечивающие.";"";"4.0";"-27.2";"0.6";"12";"";"";"Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"60.0";
"12.02.2021 03:00";"-25.1";"760.3";"772.6";"-0.5";"86";"Штиль, безветрие";"0";"";"";"100%.";"Снег с перерывами слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"4.0";"-26.8";"";"";"";"";"";"";
"12.02.2021 00:00";"-27.6";"760.8";"773.2";"-0.5";"84";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"10.0";"-29.5";"";"";"";"";"";"";
"11.02.2021 21:00";"-27.6";"761.3";"773.8";"-0.2";"84";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"10.0";"-29.5";"";"";"";"";"";"";
"11.02.2021 18:00";"-26.8";"761.5";"773.9";"-0.3";"86";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"";"-21.4";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"10.0";"-28.5";"Осадков нет";"12";"";"";"";"";
"11.02.2021 15:00";"-24.1";"761.8";"774.0";"0.0";"86";"Ветер, дующий с северо-северо-востока";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"-25.8";"";"";"";"";"";"";
"11.02.2021 12:00";"-25.4";"761.8";"774.1";"0.6";"83";"Ветер, дующий с северо-востока";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-27.4";"";"";"";"";"";"";
"11.02.2021 09:00";"-30.5";"761.2";"773.8";"0.4";"82";"Штиль, безветрие";"0";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-32.6";"";"";"";"";"";"";
"11.02.2021 06:00";"-33.5";"760.8";"773.5";"0.5";"78";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-33.9";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"60%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-36.0";"Осадков нет";"12";"";"";"Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"61.0";
"11.02.2021 03:00";"-32.8";"760.3";"772.9";"1.2";"80";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-35.1";"";"";"";"";"";"";
"11.02.2021 00:00";"-31.0";"759.1";"771.7";"0.8";"82";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-33.1";"";"";"";"";"";"";
"10.02.2021 21:00";"-30.0";"758.3";"770.8";"0.5";"84";"Штиль, безветрие";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-31.8";"";"";"";"";"";"";
"10.02.2021 18:00";"-27.0";"757.8";"770.1";"1.1";"88";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";" ";"";"";"";"-20.5";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-28.4";"Осадков нет";"12";"";"";"";"";
"10.02.2021 15:00";"-21.1";"756.7";"768.7";"0.6";"83";"Ветер, дующий с юго-юго-востока";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-23.3";"";"";"";"";"";"";
"10.02.2021 12:00";"-22.6";"756.1";"768.1";"1.0";"80";"Ветер, дующий с юга";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-25.1";"";"";"";"";"";"";
"10.02.2021 09:00";"-28.2";"755.1";"767.4";"0.6";"82";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";" ";"";"";"-29.1";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"10.0";"-30.3";"";"";"";"";"";"";
"10.02.2021 06:00";"-28.5";"754.5";"766.8";"0.1";"83";"Ветер, дующий с юга";"2";"";"";"Облаков нет.";" ";"";"";"-28.7";"";"";"";"";"";"";"10.0";"-30.5";"0.3";"12";"";"";"Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"61.0";
"10.02.2021 03:00";"-26.1";"754.4";"766.6";"0.7";"86";"Ветер, дующий с юго-запада";"2";"";"";"Облаков нет.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"";"";"";"";"";"10.0";"-27.8";"";"";"";"";"";"";
"10.02.2021 00:00";"-26.7";"753.7";"766.0";"0.8";"86";"Ветер, дующий с западо-юго-запада";"1";"";"";"70 – 80%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"4.0";"-28.4";"";"";"";"";"";"";
"09.02.2021 21:00";"-25.5";"752.9";"765.1";"0.7";"86";"Ветер, дующий с запада";"1";"";"";"20–30%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-27.1";"";"";"";"";"";"";
"09.02.2021 18:00";"-25.7";"752.2";"764.3";"1.4";"87";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"";"-22.3";"";"";"";"";"";"10.0";"-27.2";"Осадков нет";"12";"";"";"";"";
"09.02.2021 15:00";"-22.7";"750.8";"762.8";"1.3";"82";"Ветер, дующий с запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-24.9";"";"";"";"";"";"";
"09.02.2021 12:00";"-24.1";"749.5";"761.5";"1.3";"81";"Ветер, дующий с западо-северо-запада";"2";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-26.4";"";"";"";"";"";"";
"09.02.2021 09:00";"-28.0";"748.2";"760.4";"1.3";"83";"Ветер, дующий с западо-северо-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"-28.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-30.0";"";"";"";"";"";"";
"09.02.2021 06:00";"-27.5";"746.9";"759.0";"1.1";"83";"Ветер, дующий с западо-северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"-28.0";"";"";"";"";"";"";"10.0";"-29.5";"Осадков нет";"12";"";"";"Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"61.0";
"09.02.2021 03:00";"-27.5";"745.8";"757.9";"1.2";"84";"Ветер, дующий с западо-северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-29.4";"";"";"";"";"";"";
"09.02.2021 00:00";"-27.3";"744.6";"756.7";"1.2";"84";"Ветер, дующий с западо-северо-запада";"2";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"10.0";"-29.2";"";"";"";"";"";"";
"08.02.2021 21:00";"-26.2";"743.4";"755.4";"1.1";"85";"Ветер, дующий с северо-запада";"2";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-28.0";"";"";"";"";"";"";
"08.02.2021 18:00";"-25.1";"742.3";"754.3";"1.2";"84";"Ветер, дующий с северо-запада";"2";"";"";"60%.";" ";"";"";"";"-24.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-27.0";"Следы осадков";"12";"";"";"";"";
"08.02.2021 15:00";"-24.2";"741.1";"753.0";"0.8";"81";"Ветер, дующий с северо-запада";"3";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"10.0";"-26.5";"";"";"";"";"";"";
"08.02.2021 12:00";"-26.0";"740.3";"752.3";"1.0";"81";"Ветер, дующий с северо-запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"-28.3";"";"";"";"";"";"";
"08.02.2021 09:00";"-28.4";"739.3";"751.4";"0.3";"81";"Ветер, дующий с северо-запада";"2";"";"";"90  или более, но не 100%";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"-29.4";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"4.0";"-30.6";"";"";"";"";"";"";
