date,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
21.09.2019 00:00,1.0,745.6,756.7,-0.6,97,"Ветер, дующий с юга",1,,,60%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",40%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,0.5,,,,,,
20.09.2019 21:00,1.6,746.2,757.3,0.1,91,"Ветер, дующий с юга",1,,,20–30%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,0.2,,,,,,
20.09.2019 18:00,4.8,746.1,757.0,0.1,63,"Ветер, дующий с запада",1,,,100%.,Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,9.1,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",70 – 80%.,600-1000,"Высококучевые просвечивающие, расположенные на одном уровне.",,4.0,-1.8,Следы осадков,12,,,,
20.09.2019 15:00,6.5,746.0,756.9,0.0,57,"Ветер, дующий с юго-запада",1,,,100%., ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",40%.,600-1000,"Высококучевые просвечивающие, расположенные на одном уровне.",,10.0,-1.6,,,,,,
20.09.2019 12:00,6.5,746.0,756.9,0.3,53,"Ветер, дующий с юго-востока",1,,,"90  или более, но не 100%", ,,,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",50%.,600-1000,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,-2.5,,,,,,
20.09.2019 09:00,2.6,745.7,756.7,1.0,89,"Ветер, дующий с юго-юго-запада",1,,,"90  или более, но не 100%", ,,,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",20–30%.,1000-1500,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,1.0,,,,,,
20.09.2019 06:00,-1.2,744.7,755.9,0.4,95,"Ветер, дующий с юго-запада",1,,,70 – 80%., ,,,-1.0,,"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.",50%.,1000-1500,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,-1.9,Осадков нет,12,,,,
20.09.2019 03:00,-0.8,744.3,755.5,1.1,95,"Штиль, безветрие",0,,,Облаков нет., ,,,,,,,,,,10.0,-1.5,,,,,,
20.09.2019 00:00,0.3,743.2,754.3,0.7,94,"Штиль, безветрие",0,,,Облаков нет., ,,,,,,,,,,10.0,-0.5,,,,,,
19.09.2019 21:00,2.2,742.5,753.5,1.1,87,"Ветер, дующий с западо-северо-запада",2,,,20–30%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",Облаков нет.,"2500 или более, или облаков нет.","Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,0.3,,,,,,
19.09.2019 18:00,4.3,741.4,752.3,1.3,76,"Ветер, дующий с западо-северо-запада",2,,,20–30%., ,,,,9.2,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",20–30%.,"2500 или более, или облаков нет.","Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,0.4,Осадков нет,12,,,,
19.09.2019 15:00,7.6,740.1,750.8,1.0,53,"Ветер, дующий с севера",3,,,"90  или более, но не 100%", ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",20–30%.,1000-1500,"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,-1.4,,,,,,
19.09.2019 12:00,8.4,739.1,750.0,0.6,49,"Ветер, дующий с севера",2,,,70 – 80%., ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",50%.,600-1000,"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.","Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.",10.0,-1.7,,,,,,
19.09.2019 09:00,4.2,738.5,749.4,0.7,80,"Ветер, дующий с севера",2,,,70 – 80%., ,,,,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",60%.,"2500 или более, или облаков нет.","Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,1.1,,,,,,
19.09.2019 06:00,3.1,737.8,748.8,0.1,93,"Ветер, дующий с севера",1,,,70 – 80%., ,,,2.9,,"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.",70 – 80%.,"2500 или более, или облаков нет.","Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,2.1,Осадков нет,12,Поверхность почвы влажная.,1.0,,
19.09.2019 03:00,4.2,737.7,748.6,0.2,93,"Ветер, дующий с севера",1,,,100%., ,,,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,200-300,,,10.0,3.2,,,,,,
19.09.2019 00:00,5.6,737.5,748.3,0.6,91,"Ветер, дующий с севера",1,,,100%., ,,,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,200-300,,,10.0,4.2,,,,,,
18.09.2019 21:00,7.4,736.9,747.7,0.3,92,"Ветер, дующий с севера",2,,,100%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",20–30%.,600-1000,"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.",,10.0,6.2,,,,,,
18.09.2019 18:00,8.1,736.6,747.1,1.1,90,"Штиль, безветрие",0,,,"90  или более, но не 100%",Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,11.8,"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.",70 – 80%.,1000-1500,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,6.5,3.0,12,,,,
18.09.2019 15:00,10.9,735.5,745.9,0.9,79,"Ветер, дующий с северо-запада",2,,,70 – 80%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",70 – 80%.,600-1000,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,7.4,,,,,,
18.09.2019 12:00,10.0,734.6,745.1,1.3,88,"Ветер, дующий с северо-запада",1,,,"90  или более, но не 100%",Ливневый(ые) дождь(и). ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",60%.,600-1000,"Высококучевые просвечивающие, расположенные на одном уровне.","Перистых, перисто-кучевых или перисто-слоистых нет.",10.0,8.0,,,,,,
18.09.2019 09:00,9.0,733.3,743.8,1.2,92,"Штиль, безветрие",0,,,100%.,Дождь (незамерзающий) неливневый. ,Дождь.,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",300-600,Высокослоистые просвечивающие.,,10.0,7.7,,,,,,
18.09.2019 06:00,7.6,732.1,742.6,0.7,97,"Штиль, безветрие",0,,,100%.,Дождь незамерзающий непрерывный слабый в срок наблюдения. ,Дождь.,Облака покрывали более половины неба в течение всего соответствующего периода.,7.6,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",100%.,100-200,,,4.0,7.1,Следы осадков,12,Поверхность почвы влажная.,5.0,,
18.09.2019 03:00,7.8,731.4,741.9,0.0,95,"Штиль, безветрие",0,,,100%., ,,,,,"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.",70 – 80%.,100-200,Высокослоистые непросвечивающие или слоисто-дождевые.,,10.0,7.1,,,,,,
18.09.2019 00:00,7.8,731.4,741.9,-0.1,95,"Ветер, дующий с юго-юго-запада",1,,,100%., ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",70 – 80%.,200-300,"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.",,10.0,7.0,,,,,,
17.09.2019 21:00,8.6,731.5,742.0,0.0,94,"Ветер, дующий с юга",1,,,100%.,Состояние неба в общем не изменилось. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",50%.,600-1000,"Высококучевые просвечивающие, расположенные на одном уровне.",,10.0,7.6,,,,,,
17.09.2019 18:00,10.1,731.5,742.0,-0.4,81,"Ветер, дующий с юго-востока",1,,,100%.,Ливневый(ые) дождь(и). ,Облака покрывали более половины неба в течение всего соответствующего периода.,Облака покрывали более половины неба в течение всего соответствующего периода.,,12.2,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",50%.,1000-1500,Высокослоистые непросвечивающие или слоисто-дождевые.,,10.0,7.0,Следы осадков,12,,,,
17.09.2019 15:00,11.5,731.9,741.9,0.5,74,"Ветер, дующий с юго-востока",2,,,100%., ,,,,,"Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.",20–30%.,600-1000,"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.","Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.",10.0,7.0,,,,,,
17.09.2019 12:00,9.9,731.4,741.8,0.4,86,"Ветер, дующий с юго-юго-запада",2,,,100%., ,,,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.",40%.,600-1000,"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.",,10.0,7.6,,,,,,
17.09.2019 09:00,8.6,731.0,741.5,0.2,90,"Ветер, дующий с юго-запада",2,,,"90  или более, но не 100%",Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ,Ливень (ливни).,Облака покрывали более половины неба в течение всего соответствующего периода.,,,"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.","90  или более, но не 100%",300-600,"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.","Перистых, перисто-кучевых или перисто-слоистых нет.",4.0,7.1,,,,,,
