# Метеостанция Сыктывкар (аэропорт), Россия, WMO_ID=23804, выборка с 01.06.2018 по 20.09.2018, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru 
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=23804&lang=ru
#
"Местное время в Сыктывкаре (аэропорт)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"16.09.2018 06:00";"6.0";"754.3";"765.0";"0.1";"98";"Штиль, безветрие";"0";"";"";"90  или более, но не 100%";"Дымка. ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"5.3";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"5.7";"Осадков нет";"12";"Поверхность почвы влажная.";"4.0";"";"";
"16.09.2018 03:00";"6.1";"754.2";"764.9";"0.2";"98";"Ветер, дующий с юга";"1";"";"";"10%  или менее, но не 0";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"5.8";"";"";"";"";"";"";
"16.09.2018 00:00";"6.0";"754.0";"764.8";"0.2";"97";"Штиль, безветрие";"0";"";"";"20–30%.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"10.0";"5.6";"";"";"";"";"";"";
"15.09.2018 21:00";"7.3";"753.8";"764.5";"0.6";"97";"Штиль, безветрие";"0";"";"";"40%.";"Дымка. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"10.0";"6.9";"";"";"";"";"";"";
"15.09.2018 18:00";"10.8";"753.2";"763.8";"0.2";"96";"Штиль, безветрие";"0";"";"";"40%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"15.8";"Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.";"20–30%.";"600-1000";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"10.2";"3.0";"12";"";"";"";"";
"15.09.2018 15:00";"11.8";"753.0";"763.5";"0.1";"87";"Ветер, дующий с юга";"1";"";"";"70 – 80%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"9.6";"";"";"";"";"";"";
"15.09.2018 12:00";"15.1";"752.9";"763.3";"0.1";"73";"Ветер, дующий с запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"40%.";"300-600";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.";"20.0";"10.3";"";"";"";"";"";"";
"15.09.2018 09:00";"12.1";"752.8";"763.3";"0.7";"91";"Ветер, дующий с юго-юго-запада";"1";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"1000-1500";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"20.0";"10.6";"";"";"";"";"";"";
"15.09.2018 06:00";"9.4";"752.1";"762.7";"0.3";"97";"Ветер, дующий с юго-юго-запада";"1";"";"";"100%.";" ";"";"";"8.2";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"20.0";"9.0";"2.0";"12";"Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).";"8.0";"";"";
"15.09.2018 03:00";"10.1";"751.8";"762.4";"0.7";"97";"Ветер, дующий с западо-юго-запада";"1";"";"";"100%.";"Ливневый(ые) дождь(и). ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"50%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"9.7";"";"";"";"";"";"";
"15.09.2018 00:00";"9.3";"751.1";"761.7";"0.9";"97";"Штиль, безветрие";"0";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"70 – 80%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"8.9";"";"";"";"";"";"";
"14.09.2018 21:00";"9.4";"750.2";"760.8";"1.6";"99";"Ветер, дующий с западо-северо-запада";"1";"";"";"70 – 80%.";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"70 – 80%.";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"9.3";"";"";"";"";"";"";
"14.09.2018 18:00";"10.7";"748.6";"759.1";"2.0";"99";"Ветер, дующий с западо-северо-запада";"1";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"13.6";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"60%.";"600-1000";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"20.0";"10.6";"7.0";"12";"";"";"";"";
"14.09.2018 15:00";"11.1";"746.6";"757.0";"2.5";"99";"Ветер, дующий с северо-запада";"3";"";"";"100%.";"Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ";"Ливень (ливни).";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"100%.";"600-1000";"";"";"10.0";"10.9";"";"";"";"";"";"";
